num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model,time
56,102.35424515177048,36.53080655209691,0.35537963726424143,13.392492983143438,69.56831514190566,0.6635278742254521,IS,,MARWILTrainer,2014.458161830902
57,102.09171332768976,34.6624619506548,0.34527507418806686,14.551572079395413,64.37726463171445,0.6416384332157602,IS,,MARWILTrainer,2014.458161830902
58,102.61636092087178,36.55005308079252,0.35359539151716907,14.005713661730496,69.35304299044722,0.6614659845696189,IS,,MARWILTrainer,2014.458161830902
59,102.60048698918483,35.76334219207728,0.34768770291542905,12.429383663772976,69.05121304885698,0.6620098238440255,IS,,MARWILTrainer,2014.458161830902
60,102.15625609936771,36.531303015425166,0.3564652854245366,14.423172923762936,69.62766698692859,0.6642933293605098,IS,,MARWILTrainer,2014.458161830902
61,102.65703446101216,37.135401913338754,0.35951213286044426,12.741093479498696,69.78055704257315,0.6658725495414015,IS,,MARWILTrainer,2014.458161830902
62,102.45200426691085,36.372451658936576,0.35127295365957345,14.152197487665704,69.45967718189608,0.6623594756033734,IS,,MARWILTrainer,2014.458161830902
63,102.18126688501307,36.32802914426839,0.35133351715296335,14.035011819628556,69.47958667678961,0.6622002841405648,IS,,MARWILTrainer,2014.458161830902
64,102.29804615957029,35.34052000797716,0.3525273980656047,13.550269275632763,64.71353637824346,0.64206754162184,IS,,MARWILTrainer,2014.458161830902
65,102.81527943399638,35.04450986882042,0.3391746444998881,12.726664741537476,64.61927332643103,0.6155936996711352,IS,,MARWILTrainer,2014.458161830902
66,102.25498617424506,35.79126969251418,0.3493971305857468,14.70808566364936,68.89868167019912,0.660284636495782,IS,,MARWILTrainer,2014.458161830902
67,102.55612674398013,36.83425405163925,0.3573169700447403,12.617317670814412,69.72981380307276,0.6655698358792509,IS,,MARWILTrainer,2014.458161830902
68,102.32674949700015,36.74385752641454,0.3565989318627309,13.513277507593124,69.71446040675507,0.6650648162329617,IS,,MARWILTrainer,2014.458161830902
69,102.68241791740824,36.6984782961715,0.35522024719924966,12.86307268816761,69.51322903873243,0.6628105773065469,IS,,MARWILTrainer,2014.458161830902
70,102.40660240134062,36.72346114519593,0.357584310905856,13.735212995583352,69.56656014744917,0.6665415469898858,IS,,MARWILTrainer,2014.458161830902
71,102.27221258125765,36.293860811286436,0.35110880199143707,13.298677497091333,69.61490452938405,0.6637206060611384,IS,,MARWILTrainer,2014.458161830902
